id;name;assay_type;manufacturer;status
1;urgently evenly queasy;DTS_ALGORITHM;materialise acceptable consequently;INACTIVE
2;mysteriously hence reasoning;DTS_ALGORITHM;whoever;INACTIVE
3;how;COVID19_GENE;boo thrifty;ACTIVE
4;um;TB_ASSAY;past;INACTIVE
5;scented;TB_ASSAY;muddy webbed ethyl;ACTIVE
6;going;TB_ASSAY;well-documented;INACTIVE
7;poorly react;DTS_ALGORITHM;yum represent;PENDING
8;agreeable;COVID19_GENE;vaguely if;ACTIVE
9;bad sparkling;DTS_ALGORITHM;showy phew;ACTIVE
10;slowly;EID_DETECTION_ASSAY;obediently for;INACTIVE
