id;root_cause;action_taken;action_date;status;follow_up_date;shipment_participant_map_id
1;modulo ribbon;exonerate or immediately;2026-06-02;INACTIVE;2026-06-01;1
2;psst;abnegate;2026-06-02;INACTIVE;2026-06-02;2
3;rough hawk;restructure aside;2026-06-02;INACTIVE;2026-06-02;3
4;gosh yet;continually skeleton softly;2026-06-02;ACTIVE;2026-06-02;4
5;modulo mixture;dimly;2026-06-02;ACTIVE;2026-06-02;5
6;despite even lasting;although;2026-06-02;PENDING;2026-06-02;6
7;during disbar;forager whispered;2026-06-02;ACTIVE;2026-06-02;7
8;distorted runny minus;absent geez valiantly;2026-06-02;PENDING;2026-06-01;8
9;finally when row;ew unnecessarily;2026-06-02;PENDING;2026-06-02;9
10;following;except despite provided;2026-06-02;PENDING;2026-06-02;10
