id;certificate_type;file_ref;detected_fields
1;EXCELLENCE;misread following;../fake-data/blob/hipster.txt
2;EXCELLENCE;lox and;../fake-data/blob/hipster.txt
3;PARTICIPATION;upsell;../fake-data/blob/hipster.txt
4;PARTICIPATION;inside fraternise fooey;../fake-data/blob/hipster.txt
5;EXCELLENCE;sans voluntarily;../fake-data/blob/hipster.txt
6;EXCELLENCE;uncommon barring gummy;../fake-data/blob/hipster.txt
7;EXCELLENCE;disapprove;../fake-data/blob/hipster.txt
8;EXCELLENCE;bashfully;../fake-data/blob/hipster.txt
9;EXCELLENCE;mmm what hoof;../fake-data/blob/hipster.txt
10;EXCELLENCE;beneath overreact bid;../fake-data/blob/hipster.txt
