id;field_key;label;field_type;options;display_order;status
1;weary density;gleefully where;TEXT;../fake-data/blob/hipster.txt;141;ACTIVE
2;versus boohoo chilly;enthusiastically exotic within;DATE;../fake-data/blob/hipster.txt;31441;INACTIVE
3;apud record hm;that about vice;SELECT;../fake-data/blob/hipster.txt;28753;PENDING
4;disrespect entrench via;without service apostrophize;TEXT;../fake-data/blob/hipster.txt;25232;INACTIVE
5;after;kookily woot informal;BOOLEAN;../fake-data/blob/hipster.txt;10613;INACTIVE
6;deeply among feline;how;TEXT;../fake-data/blob/hipster.txt;19663;ACTIVE
7;upbeat always woot;across;BOOLEAN;../fake-data/blob/hipster.txt;29346;INACTIVE
8;reporter plus though;snow webbed;TEXT;../fake-data/blob/hipster.txt;7909;PENDING
9;once slowly hydrolyze;frankly better supposing;TEXT;../fake-data/blob/hipster.txt;26431;ACTIVE
10;exacerbate;calculus brr tackle;BOOLEAN;../fake-data/blob/hipster.txt;4392;INACTIVE
