id;config_key;config_value;description
1;ick duh well-off;../fake-data/blob/hipster.txt;boohoo offend
2;eek ha;../fake-data/blob/hipster.txt;zowie bah since
3;provided;../fake-data/blob/hipster.txt;lest yum funny
4;possession via;../fake-data/blob/hipster.txt;profane or incidentally
5;between;../fake-data/blob/hipster.txt;summer freely
6;infatuated pish;../fake-data/blob/hipster.txt;analogy vainly innovation
7;geez eek;../fake-data/blob/hipster.txt;whoever
8;general;../fake-data/blob/hipster.txt;plus weatherize including
9;generally jubilantly gadzooks;../fake-data/blob/hipster.txt;forenenst worriedly
10;obstruct outside;../fake-data/blob/hipster.txt;inject
