id;section;type;title;text;link;file_ref;icon;display_order;status
1;fake lounge briefly;vanadyl;fooey sternly once;../fake-data/blob/hipster.txt;misappropriate account;stitcher when incidentally;aboard whoever warming;20153;PUBLISHED
2;woefully uh-huh;briefly sinful;including;../fake-data/blob/hipster.txt;who;devastation crafty cleverly;whereas zowie;7599;DRAFT
3;whenever;pish modulo pfft;after;../fake-data/blob/hipster.txt;anti;offset;postbox nor fully;21896;PUBLISHED
4;yum;affectionate;international pop;../fake-data/blob/hipster.txt;following shudder;as;toaster;26082;ARCHIVED
5;please;inasmuch;chapel though;../fake-data/blob/hipster.txt;contrail pace;ham loyally;assured outlaw;29025;ARCHIVED
6;besides searchingly;restfully phony;tightly coexist;../fake-data/blob/hipster.txt;energetically whereas geez;expert;supposing meadow up;12473;ARCHIVED
7;thongs;black;lovingly lest;../fake-data/blob/hipster.txt;whoever;flimsy tightly;frightfully;18495;DRAFT
8;ah indeed amidst;bah sentimental common;qua;../fake-data/blob/hipster.txt;eek shrilly;aftermath;indeed;16138;DRAFT
9;confusion;verify pack unless;fuel;../fake-data/blob/hipster.txt;whose;but;especially spiteful;17842;PUBLISHED
10;gadzooks worth;whoever remorseful past;intermix majestically;../fake-data/blob/hipster.txt;meaningfully;noteworthy;longingly;7550;DRAFT
