id;code;subject;html_body;status
1;unless;willow slight expert;../fake-data/blob/hipster.txt;DRAFT
2;sprinkles unlike;beside;../fake-data/blob/hipster.txt;ARCHIVED
3;metallic yum gah;so viciously judicious;../fake-data/blob/hipster.txt;PUBLISHED
4;plastic;private;../fake-data/blob/hipster.txt;ARCHIVED
5;oh;gadzooks membership hence;../fake-data/blob/hipster.txt;PUBLISHED
6;abaft;yahoo tensely;../fake-data/blob/hipster.txt;ARCHIVED
7;whoa emboss;roughly astride;../fake-data/blob/hipster.txt;ARCHIVED
8;on arbitrate round;next;../fake-data/blob/hipster.txt;ARCHIVED
9;neatly cope quinoa;squirm boring;../fake-data/blob/hipster.txt;ARCHIVED
10;fair loyally;against;../fake-data/blob/hipster.txt;DRAFT
