id;answer;submitted_at;question_id;participant_id
1;../fake-data/blob/hipster.txt;2026-06-02T04:39:37;1;1
2;../fake-data/blob/hipster.txt;2026-06-02T06:59:37;2;2
3;../fake-data/blob/hipster.txt;2026-06-02T17:22:08;3;3
4;../fake-data/blob/hipster.txt;2026-06-02T02:53:33;4;4
5;../fake-data/blob/hipster.txt;2026-06-02T07:35:13;5;5
6;../fake-data/blob/hipster.txt;2026-06-02T15:09:30;6;6
7;../fake-data/blob/hipster.txt;2026-06-02T13:54:02;7;7
8;../fake-data/blob/hipster.txt;2026-06-02T04:23:15;8;8
9;../fake-data/blob/hipster.txt;2026-06-02T15:16:59;9;9
10;../fake-data/blob/hipster.txt;2026-06-02T13:24:23;10;10
