id;subject;body;is_read;sent_at;participant_id
1;gummy;../fake-data/blob/hipster.txt;true;2026-06-02T07:22:17;1
2;patiently after larva;../fake-data/blob/hipster.txt;true;2026-06-02T14:12:46;2
3;or excluding since;../fake-data/blob/hipster.txt;false;2026-06-02T01:14:57;3
4;provided besides whereas;../fake-data/blob/hipster.txt;true;2026-06-01T23:18:08;4
5;inasmuch settler;../fake-data/blob/hipster.txt;false;2026-06-02T00:58:02;5
6;gadzooks veto pension;../fake-data/blob/hipster.txt;false;2026-06-01T23:59:47;6
7;lecture;../fake-data/blob/hipster.txt;false;2026-06-01T21:39:42;7
8;uh-huh oh;../fake-data/blob/hipster.txt;true;2026-06-02T12:22:13;8
9;of;../fake-data/blob/hipster.txt;true;2026-06-02T02:39:02;9
10;mockingly silver;../fake-data/blob/hipster.txt;false;2026-06-02T01:53:20;10
