id;reported_qualitative_result;reported_quantitative_value;unit;lot_number;expiry_date;z_score;calculated_score;comments;sample_id;shipment_participant_map_id
1;duh however gee;22839.94;utterly spook;hoick;2026-06-01;6280.87;14880.01;enhance dowse;1;1
2;oof steel yowza;25014.97;abseil;form often;2026-06-02;17006.65;1110.97;overspend;2;2
3;anenst cemetery black;19403.97;connect now;marksman government vice;2026-06-02;6506.96;31355.28;woot to;3;3
4;reckon who;1067.64;slime mooch;thankfully athwart between;2026-06-02;11776.88;12842.32;jubilantly;4;4
5;not sign redevelop;29320.83;than;the;2026-06-02;31849.18;15491.04;approximate eek vet;5;5
6;brr though;26072.62;uselessly;exempt;2026-06-02;2406.7;16810.2;fall beside;6;6
7;brandish cautious hmph;29537.58;through once;gosh quietly;2026-06-02;2376.62;31818.06;why;7;7
8;perspire;16936.76;pish shirk;throughout makeover armoire;2026-06-02;29688.12;12375.45;sans;8;8
9;next;27091.92;footrest cheetah;our;2026-06-02;5432.98;26060.95;pro indeed;9;9
10;testing;28778.73;though whistle;before finished;2026-06-02;5380.51;22484.99;circular sedately outstanding;10;10
