id;qualitative_result;quantitative_value;unit;lower_limit;upper_limit;is_control_expected;sample_id
1;ripe;16053.99;beneath energetic;9084.55;12643.39;true;1
2;granular;20648.04;venom bus mesh;9480.62;21999.01;false;2
3;whoa knottily;19802.77;sizzle heavily luck;17189.34;21974.83;false;3
4;edible;21376.66;after surprise;25929.52;16466.51;false;4
5;yet superb;22475.35;to provided;18139.57;12349.84;true;5
6;who cautiously;20324.29;against;31636.98;118.63;false;6
7;weakly;5578.33;vibration yippee loyally;30771.74;21447.99;false;7
8;unconscious limply neatly;29947.24;upright;6666.56;14350.41;false;8
9;treasure faithfully and;5034.47;beneficial before cricket;19305.25;29950.78;false;9
10;wrongly anti;267.58;fiercely gee CD;8626.26;10880.58;false;10
