id;job_type;status;requested_by;requested_on;started_at;last_heartbeat;completed_at;progress_completed;progress_total;summary
1;CERTIFICATE_DISTRIBUTION;CANCELLED;castanet hm;2026-06-02T07:31:52;2026-06-02T01:20:41;2026-06-02T08:24:59;2026-06-02T03:58:12;9896;17785;../fake-data/blob/hipster.txt
2;EMAIL_DISPATCH;FAILED;blah as on;2026-06-01T21:27:01;2026-06-02T01:26:00;2026-06-02T06:41:30;2026-06-02T03:05:52;27452;25152;../fake-data/blob/hipster.txt
3;CERTIFICATE_DISTRIBUTION;FAILED;justly because;2026-06-02T12:28:55;2026-06-02T13:12:23;2026-06-02T10:03:35;2026-06-02T02:30:35;27828;13033;../fake-data/blob/hipster.txt
4;EVALUATION;COMPLETED;than kissingly;2026-06-02T05:11:32;2026-06-02T13:51:48;2026-06-02T02:30:15;2026-06-02T03:47:07;16082;14385;../fake-data/blob/hipster.txt
5;STALE_CLEANUP;FAILED;weatherize factorize;2026-06-01T21:08:09;2026-06-02T02:17:40;2026-06-02T13:42:20;2026-06-01T21:15:54;14540;19321;../fake-data/blob/hipster.txt
6;REPORT_GENERATION;RUNNING;psst um drat;2026-06-02T00:51:45;2026-06-02T19:57:11;2026-06-02T01:29:50;2026-06-02T16:43:02;16237;28197;../fake-data/blob/hipster.txt
7;CERTIFICATE_GENERATION;PENDING;er;2026-06-01T21:10:39;2026-06-02T02:10:54;2026-06-02T05:47:23;2026-06-02T16:49:09;31983;9231;../fake-data/blob/hipster.txt
8;EVALUATION;CANCELLED;structure appreciate;2026-06-01T23:14:20;2026-06-02T05:19:11;2026-06-02T13:07:13;2026-06-01T23:14:53;11003;23724;../fake-data/blob/hipster.txt
9;EMAIL_DISPATCH;CANCELLED;playfully whoa;2026-06-02T10:05:22;2026-06-02T01:14:26;2026-06-02T04:22:12;2026-06-02T13:48:09;30033;27985;../fake-data/blob/hipster.txt
10;STALE_CLEANUP;RUNNING;ah;2026-06-02T10:25:42;2026-06-02T12:51:50;2026-06-02T09:42:37;2026-06-02T01:54:55;20595;11250;../fake-data/blob/hipster.txt
