id;code;name;scheme_type;modality;status
1;hm hm;among tarragon woefully;RECENCY;QUANTITATIVE;ACTIVE
2;inside about;till;COVID19;SEMI_QUANTITATIVE;INACTIVE
3;ouch;humble sans likewise;RECENCY;QUALITATIVE;PENDING
4;shovel woot yet;publicity whether;COVID19;QUALITATIVE;PENDING
5;blah;reschedule incidentally plump;DTS;QUALITATIVE;INACTIVE
6;of more veto;obediently;VL;QUANTITATIVE;ACTIVE
7;blah against;amongst while;TB;SEMI_QUANTITATIVE;INACTIVE
8;internationalize ah icy;oh apropos wherever;TB;QUANTITATIVE;PENDING
9;put;boo before;COVID19;QUALITATIVE;PENDING
10;psst;abscond outrun;COVID19;SEMI_QUANTITATIVE;INACTIVE
