id;response_status;shipment_receipt_date;shipment_test_date;shipment_test_report_date;submitted_at;evaluated_at;is_excluded;is_response_late;is_pt_test_not_performed;pt_test_not_performed_comments;supervisor_approved;participant_supervisor;user_comment;shipment_score;documentation_score;final_result;failure_reason;evaluation_comment;is_followup;manual_override;qc_status;qc_date;qc_done_by;synced_to_mobile;synced_on;shipment_id;participant_id
1;NOT_TESTED;2026-06-01;2026-06-02;2026-06-01T22:49:26;2026-06-02T12:24:02;2026-06-01T22:13:15;false;true;false;table hawk;true;hefty;provided ouch;7792.57;19481.75;EXCLUDED;../fake-data/blob/hipster.txt;satirise;false;false;PASSED;2026-06-02;uselessly afterwards;true;2026-06-01T23:11:48;1;1
2;LATE;2026-06-02;2026-06-01;2026-06-02T01:40:59;2026-06-02T11:03:13;2026-06-02T16:09:36;true;true;false;than maestro vaguely;false;unless;optimistically reel jaggedly;24376.54;19311.8;NOT_EVALUATED;../fake-data/blob/hipster.txt;sheepishly;false;true;PENDING;2026-06-02;fully;true;2026-06-02T04:28:25;2;2
3;NO_RESPONSE;2026-06-02;2026-06-02;2026-06-02T17:50:29;2026-06-02T00:09:59;2026-06-02T05:29:23;true;true;true;hence provided;false;next hawk;tribe gosh;10789.69;2727.34;NOT_EVALUATED;../fake-data/blob/hipster.txt;versus regarding;false;true;FAILED;2026-06-02;phooey eek oh;true;2026-06-02T20:47:03;3;3
4;NOT_TESTED;2026-06-02;2026-06-02;2026-06-01T21:25:41;2026-06-02T04:48:18;2026-06-02T10:00:50;false;false;false;after sidetrack mooch;false;stint lender;why;22408.97;25544.3;EXCLUDED;../fake-data/blob/hipster.txt;upliftingly boohoo steel;false;false;PASSED;2026-06-01;wherever;true;2026-06-02T16:46:42;4;4
5;IN_PROGRESS;2026-06-02;2026-06-01;2026-06-02T08:44:52;2026-06-02T06:33:37;2026-06-02T18:31:02;false;false;true;zowie while ack;false;minor though strictly;woot rarely;19051.08;3852.86;NOT_EVALUATED;../fake-data/blob/hipster.txt;yahoo glider;false;true;PASSED;2026-06-02;properly than;false;2026-06-02T08:44:53;5;5
6;IN_PROGRESS;2026-06-01;2026-06-02;2026-06-02T04:14:06;2026-06-02T13:08:09;2026-06-02T17:08:59;false;false;false;portray chubby now;true;snow self-reliant;ah so unconscious;5182.49;21773.47;FAIL;../fake-data/blob/hipster.txt;generously victoriously;false;false;PASSED;2026-06-01;inasmuch down when;true;2026-06-02T01:13:25;6;6
7;LATE;2026-06-02;2026-06-02;2026-06-02T06:51:08;2026-06-02T04:19:32;2026-06-02T07:01:13;false;true;true;readies ornate;true;exonerate;eek;24151.7;19467.49;FAIL;../fake-data/blob/hipster.txt;allocation finally through;false;true;PASSED;2026-06-02;per;false;2026-06-02T01:39:19;7;7
8;NOT_STARTED;2026-06-02;2026-06-02;2026-06-02T02:47:14;2026-06-02T04:26:43;2026-06-02T17:39:54;true;false;true;citizen crocodile;false;volunteer loftily bleakly;pixellate consequently mmm;29191.13;8878.14;EXCLUDED;../fake-data/blob/hipster.txt;bobble;true;false;PENDING;2026-06-02;biodegrade phew devil;true;2026-06-02T08:40:08;8;8
9;NOT_STARTED;2026-06-02;2026-06-02;2026-06-02T00:23:18;2026-06-02T19:28:52;2026-06-01T21:02:34;true;false;true;trek since;true;geez;wearily stage however;30697.06;12137.63;FAIL;../fake-data/blob/hipster.txt;inside forgather;true;true;FAILED;2026-06-02;boohoo aw punctually;true;2026-06-02T10:53:39;9;9
10;NO_RESPONSE;2026-06-02;2026-06-02;2026-06-02T18:01:05;2026-06-02T09:07:45;2026-06-02T11:24:39;false;false;true;presume beside burdensome;true;especially;aside immediately within;14681.12;23741.66;FAIL;../fake-data/blob/hipster.txt;pace internalize um;false;false;FAILED;2026-06-02;invite briefly;true;2026-06-01T22:35:02;10;10
