id;label;display_order;is_control;is_mandatory;sample_score;preparation_date;shipment_id
1;traditionalism;31317;true;true;15450.86;2026-06-02;1
2;internalize ew;25455;true;false;29621.86;2026-06-02;2
3;crystallize so;10072;false;true;19737.3;2026-06-02;3
4;resource as flat;8078;false;false;2671.93;2026-06-01;4
5;cantaloupe;23468;false;true;13920.38;2026-06-02;5
6;whoa roughly annual;19102;false;true;23828.61;2026-06-02;6
7;opposite although exactly;14747;false;false;5386.16;2026-06-02;7
8;brr ill-fated absent;32438;false;true;2070.09;2026-06-02;8
9;standard excepting;23582;true;true;18829.03;2026-06-02;9
10;or conjecture brightly;10122;true;false;11.73;2026-06-02;10
